CountryCode,SeriesCode,DESCRIPTION
"AGO","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2022 are based on reports provided by the country.  Short-term debt and long-term private nonguaranteed debt data for 2022 are sourced from the National Bank of Angola. DSSI eligible and participating in 2020, 2021 and 2022."
"AGO","IT.NET.BBND","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"AGO","IT.CEL.SETS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders."
"AGO","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"AGO","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"AGO","IT.CEL.SETS.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","IT.MLT.MAIN","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"AGO","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"AGO","IT.MLT.MAIN.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AGO","SM.POP.NETM","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"AGO","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"AGO","IT.NET.BBND.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 1995-2001: country data."
"ALB","IT.CEL.SETS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ALB","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. "
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ALB","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists)."
"ALB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat"
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ALB","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","SP.POP.GROW","Data source: Institute of Statistics, Eurostat"
"ALB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2022 are based on reports provided by the country. Short-term debt data for 2022 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds)."
"ALB","IT.NET.BBND","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ALB","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding nationals residing abroad. Including in transit visitors."
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","IS.RRS.GOOD.MT.K6","Source: OECD"
"ALB","IS.RRS.PASG.KM","Source: OECD"
"ALB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ALB","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"AND","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. "
"AND","SP.POP.GROW","Data source: United Nations World Population Prospects"
"AND","SP.DYN.CDRT.IN","Data source: Eurostat"
"AND","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","SP.DYN.CBRT.IN","Data source: Eurostat"
"AND","SP.DYN.TFRT.IN","Data source: Eurostat"
"AND","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years."
"AND","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"ARE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ARE","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists). Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities."
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARE","SP.POP.GROW","Data source: United Nations World Population Prospects"
"ARE","MS.MIL.XPND.ZS","1997-2014 SIPRI estimates."
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","MS.MIL.XPND.CD","1997-2014 SIPRI estimates."
"ARE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ARE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ARE","SM.POP.TOTL","Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. "
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges."
"ARE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ARE","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders."
"ARE","ST.INT.XPND.CD","Compiled from data reported by the Central Bank. Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities. Source: Central Bank of the U.A.E."
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"ARE","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARE","MS.MIL.XPND.CN","1997-2014 SIPRI estimates."
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","ST.INT.RCPT.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E. 1995-1999: hotel revenues. Including domestic tourism and nationals residing abroad."
"ARE","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ARG","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists). Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series."
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression."
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression."
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression."
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression."
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression."
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression."
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones."
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARG","SP.POP.GROW","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects"
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression."
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones."
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones."
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects"
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression."
"ARG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones."
"ARG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression."
"ARG","IS.RRS.GOOD.MT.K6","Source: OECD"
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates."
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression."
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ARG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. "
"ARG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
"ARG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ARG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones."
"ARG","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series."
"ARG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2022 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt data for 2022 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds)."
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones."
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones."
"ARG","IS.RRS.PASG.KM","Source: OECD"
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ARM","IS.RRS.GOOD.MT.K6","Source: OECD"
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications."
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications."
"ARM","IT.NET.BBND","Ministry of Transport and Communications."
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects"
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2022 are based on reports provided by the country. Short-term debt data for 2022 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds)."
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications."
"ARM","ST.INT.DPRT","Includes overnight visitors (tourists) only."
"ARM","IS.RRS.PASG.KM","Source: OECD"
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications."
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. "
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications."
"ARM","IT.CEL.SETS","Ministry of Transport and Communications."
"ARM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders."
"ARM","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority."
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre."
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory."
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority."
"ASM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders."
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority."
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country."
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority."
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects"
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority."
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority."
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority."
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)"
"ATG","IT.MLT.MAIN","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ATG","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding yacht passenger arrivals."
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
"ATG","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ATG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ATG","IT.NET.BBND.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
"ATG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
